ID,Marca,Cliente,Zona,Latitud,Longitud,Estado,Imagen_URL
CDSMXN25061618,CASHDRO S,WOOLWORTH,Pacifico,31.2899263,-110.9398595,Sonora,logos/cashdros.png
CDSMXN25061619,CASHDRO S,WOOLWORTH,Pacifico,31.2899263,-110.9398595,Sonora,logos/cashdros.png
CDSMXN25061017,CASHDRO S,WOOLWORTH,Bajio,20.6192575,-100.4403585,Queretaro,logos/cashdros.png
CDSMXN25060609,CASHDRO S,PANADERIA OSCARS,Metro,19.2685388,-99.1582326,CDMX,logos/cashdros.png
CDSMXN25060613,CASHDRO S,FERRETERIA CANELOS,Metro,19.8374282,-99.2274039,Estado de Mexico,logos/cashdros.png
CDSMXN25061014,CASHDRO S,WOOLWORTH,Pacifico,32.5809889,-115.5843266,Baja California Norte,logos/cashdros.png
CDSMXN25060620,CASHDRO S,WOOLWORTH,Pacifico,32.658463,-115.4777039,Baja California Norte,logos/cashdros.png
CDSMXN25061012,CASHDRO S,WOOLWORTH,Pacifico,31.8489633,-116.5807894,Baja California Norte,logos/cashdros.png
CDSMXN25061013,CASHDRO S,WOOLWORTH,Pacifico,31.8489633,-116.5807894,Baja California Norte,logos/cashdros.png
CDSMXN25061015,CASHDRO S,WOOLWORTH,Pacifico,32.5809889,-115.5843266,Baja California Norte,logos/cashdros.png
CDSMXN25060614,CASHDRO S,FERRETERIA CANELOS,Metro,19.8374282,-99.2274039,Estado de Mexico,logos/cashdros.png
CDSMXN25061620,CASHDRO S,LA CHARAMUSCA,Bajio,20.5227694,-99.8926493,Queretaro,logos/cashdros.png
CDSMXN25061018,CASHDRO S,WOOLWORTH,Pacifico,32.5809889,-115.5843266,Baja California Norte,logos/cashdros.png
CDSMXN25031912,CASHDRO S,SANTO HABANERO,Metro,19.4146696,-99.1635067,CDMX,logos/cashdros.png
CDSMXN25061701,CASHDRO S,HOTEL QUINTA DEL REY,Metro Foraneo,19.3272296,-99.5704739,Estado de Mexico,logos/cashdros.png
CDSMXN25062304,CASHDRO S,LA CHILAQUILA,Pacifico,20.5206353,-103.2432095,Jalisco,logos/cashdros.png
CDSMXN25062305,CASHDRO S,MOTEL LOS PUENTES,Norte,25.8884927,-97.5285974,Tamaulipas,logos/cashdros.png
CDSMXN25061702,CASHDRO S,WOOLWORTH,Norte,22.2165108,-97.8601627,Tamaulipas,logos/cashdros.png
CDSMXN25061703,CASHDRO S,WOOLWORTH,Norte,22.2165108,-97.8601627,Tamaulipas,logos/cashdros.png
CDSMXN25061704,CASHDRO S,WOOLWORTH,Norte,22.2165108,-97.8601627,Tamaulipas,logos/cashdros.png
CDSMXN25061705,CASHDRO S,WOOLWORTH,Norte,22.2165108,-97.8601627,Tamaulipas,logos/cashdros.png
CDSMXN25061706,CASHDRO S,WOOLWORTH,Norte,23.731783,-99.1467245,Tamaulipas,logos/cashdros.png
CDSMXN25061715,CASHDRO S,WOOLWORTH,Norte,27.4941608,-99.5735283,Tamaulipas,logos/cashdros.png
CDSMXN25061712,CASHDRO S,WOOLWORTH,Norte,25.8504073,-97.5041837,Tamaulipas,logos/cashdros.png
CDSMXN25061713,CASHDRO S,WOOLWORTH,Norte,25.8504073,-97.5041837,Tamaulipas,logos/cashdros.png
CDSMXN25061714,CASHDRO S,WOOLWORTH,Norte,27.4941608,-99.5735283,Tamaulipas,logos/cashdros.png
CDSMXN25061716,CASHDRO S,WOOLWORTH,Norte,27.4445256,-99.5218414,Tamaulipas,logos/cashdros.png
CDSMXN25061717,CASHDRO S,WOOLWORTH,Norte,27.4445256,-99.5218414,Tamaulipas,logos/cashdros.png
CDSMXN25061718,CASHDRO S,WOOLWORTH,Norte,26.0914635,-98.2801065,Tamaulipas,logos/cashdros.png
CDSMXN25061719,CASHDRO S,WOOLWORTH,Norte,26.0914635,-98.2801065,Tamaulipas,logos/cashdros.png
CDSMXN25061720,CASHDRO S,WOOLWORTH,Norte,25.8690294,-97.5027376,Tamaulipas,logos/cashdros.png
CDSMXN25062301,CASHDRO S,WOOLWORTH,Norte,25.8690294,-97.5027376,Tamaulipas,logos/cashdros.png
CDSMXN25061707,CASHDRO S,WOOLWORTH,Norte,23.731783,-99.1467245,Tamaulipas,logos/cashdros.png
CDSMXN25061708,CASHDRO S,WOOLWORTH,Norte,25.8812977,-97.5061966,Tamaulipas,logos/cashdros.png
CDSMXN25061709,CASHDRO S,WOOLWORTH,Norte,25.8812977,-97.5061966,Tamaulipas,logos/cashdros.png
CDSMXN25061710,CASHDRO S,WOOLWORTH,Norte,25.8710361,-97.5379286,Tamaulipas,logos/cashdros.png
CDSMXN25061711,CASHDRO S,WOOLWORTH,Norte,25.8710361,-97.5379286,Tamaulipas,logos/cashdros.png
CDSMXN25062311,CASHDRO S,WOOLWORTH,Norte,22.3952941,-97.9329898,Tamaulipas,logos/cashdros.png
CDSMXN25062312,CASHDRO S,WOOLWORTH,Norte,22.3952941,-97.9329898,Tamaulipas,logos/cashdros.png
CDSMXN25062313,CASHDRO S,WOOLWORTH,Norte,22.2516147,-97.8600912,Tamaulipas,logos/cashdros.png
CDSMXN25062314,CASHDRO S,WOOLWORTH,Norte,22.2516147,-97.8600912,Tamaulipas,logos/cashdros.png
CDSMXN25062315,CASHDRO S,WOOLWORTH,Norte,22.2516147,-97.8600912,Tamaulipas,logos/cashdros.png
CDSMXN25062307,CASHDRO S,WOOLWORTH,Norte,26.0561825,-98.3647102,Tamaulipas,logos/cashdros.png
CDSMXN25062308,CASHDRO S,WOOLWORTH,Norte,26.0561825,-98.3647102,Tamaulipas,logos/cashdros.png
